Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,4,25201,21342,58,2476,3859,12,0,12,0,0
D:\Documents\99. 테스트 자동화\Scripts\ITR_TEST,4,25201,21342,58,2476,3859,12,0,12,0,0
